<<<<<<< HEAD
,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Product_desc,Expert Review,Customer Review,Appearance,Nose,Palate,Food Pairing,Alcohol percentage,Bottle volume ml,Gift box,Country of origin,Varietal,Brand
10,10,10,10,0,product_3368,24-x-carlsberg-beer-bottle-case-330ml,69.95,https://www.paneco.com.sg/products/24-x-carlsberg-beer-bottle-case-330ml,"Carlsberg originates from Copenhagen, Denmark. J.C Jacobsen, our founder, brewed Denmark's first ever pint using a yeast that became the basis for many modern-day imitations. Carlsberg Pilsner is crisp, refreshing, perfectly balanced beer that has a full flavor and hoppy aroma. Carlsberg Danish Pilsner is brewed with the principals learned from over 100 years brewing experience to produce a lager with distinctive citrus and floral hop aromas that delivers great depth of flavor, making it the perfect beer for those that value authentic and quality drinking experiences. That's why at Carlsberg we've been exporting our finest beer since 1869.",,,,,,[],5.0,24 x 330.0ml,No,Denmark,Lager,Carlsberg
11,11,11,11,0,product_204,carlsberg-can-24-case,64.95,https://www.paneco.com.sg/products/carlsberg-can-24-case,"Carlsberg Can (24 Case) Probably the best beer in the world, a regular in millions of bars across 140 countries worldwide, it is a truly international beer brand. The very first Carlsberg beers were brewed by Carlsberg's founder J.C. Jacobsen in 1847. In 1868, Carlsberg began exporting to Scotland. In 1869 samples were sent to Rangoon, Singapore, Calcutta and Hong Kong. Today, Carlsberg is a regular in bars all around the world.",“Carlsberg Can (24 Case)”,,,,,[],5.0,24 x 320.0ml,No,Denmark,Wheat,Carlsberg
12,12,12,12,0,product_3369,24-x-coors-beer-bottle-case-330ml,64.55,https://www.paneco.com.sg/products/24-x-coors-beer-bottle-case-330ml,"Coors is a clean, light and refreshing lager with low bitterness and crisp finish that delivers mountain cold refreshment. Coors is best served cold. Every pack features our unique thermochromic ink. When the mountains on the bottle or can turn blue, Coors is mountain cold and ready to drink. It's our Cold Beer Guarantee, and it's how you know Coors is at the perfect temperature.",,,,,,[],4.0,24 x 330.0ml,No,United States,Lager,Coors Light
13,13,13,13,0,product_503,24-x-corona-extra-beer-bottle-case-354ml,75.65,https://www.paneco.com.sg/products/24-x-corona-extra-beer-bottle-case-354ml,"24 bottle case. Born in Mexico and brought up on the beach, Corona is the perfect compliment to life’s simple pleasures. The golden colour, light refreshing flavor and iconic hand painted bottle, topped off with a freshly squeezed lime. When the living is easy, the beer is Corona.","“Best enjoyed from the bottle, with a lime, in good company.”","Just enjoy sipping this beer, ice cold, around the pool or on the balcony on those hot Singapore afternoons. Limes are a gimmick.",,,,[],4.5,24 x 355.0ml,No,Mexico,Lager,Corona
14,14,14,14,0,product_4074,24-x-crossroads-craft-lager-beer-330ml,99.95,https://www.paneco.com.sg/products/24-x-crossroads-craft-lager-beer-330ml,"Crisp and refreshing, Craft Lager balances a smooth, malty backbone with a fragrant, restrained bitterness imparted by premium European hops. It’s perfect for outdoor picnics and barbecues on hot days in Singapore.",,,,,,[],4.9,24 x 330.0ml,No,Singapore,Lager,Crossroads
15,15,15,15,0,product_4073,24-x-crossroads-session-ipa-beer-330ml,99.95,https://www.paneco.com.sg/products/24-x-crossroads-session-ipa-beer-330ml,"An authentic IPA overflowing with hoppy zing and crisp, dry citrus aroma from Galaxy, Mosaic and Ekuanot hops.",,,,,,[],4.7,24 x 330.0ml,No,Singapore,,Crossroads
16,16,16,16,0,product_488,24-x-desperados-beer-bottle-case-330ml,88.95,https://www.paneco.com.sg/products/24-x-desperados-beer-bottle-case-330ml,"Desperados is the world's first Tequila Flavoured Beer available in a case of 24 bottles. A distinctive combination of full bodied lager with a kick of Tequila flavour. A light & refreshing taste profile balanced with spicy and lemony notes for sweetness. This is technically a beer aged in tequila barrels for a few months, then mixed with tequila and lemon.","“The perfectly mixed odor of tequila with the barley and malt was so sweet to the nose. The mouthfeel accentuated the smell - thick, crisp, and bold.Clear golden yellow with little foam that quickly disappears and medium carbonated.Very drinkable it pairs very well with pizza or a steak in a warm summer night.”",,,,,[],5.9,24 x 330.0ml,No,France,Lager,Desperados
17,17,17,17,0,product_493,24-x-guinness-draught-beer-can-case-440ml,98.5,https://www.paneco.com.sg/products/24-x-guinness-draught-beer-can-case-440ml,"This 24 Can Case of this iconic beer is defined by harmony. Sip after sip, sweet counters bitter as the malt arrives on cue to complement a base of roasted barley. Just as the unmistakable white head sits flush atop the dark beer, so do the flavours counter and combine perfectly. Developed in 1959, this beer was the brewers’ celebration of Arthur Guinness signing his 9,000-year lease – a fitting way to mark 200 years groundbreaking brewing. With a skilful pairing of nitrogen gas and carbon dioxide, the smooth, velvety texture was born. Distinguished by its legendary stormy surge upon pouring, Guinness Draught brewed up a storm all of its own. It established itself as the top-selling Guinness beer with lightning speed. Drinkers were instantly drawn to its complexity; its bold combination of flavours made a lasting impression. Guinness Draught was an unparalleled success.","“Rich and creamy. Distinctively black. Velvety in its finish.AromaSweet smelling with a coffee and malty noseFlavourPerfect balance of bitter and sweet with malt and roast characterPalateSmooth, creamy and balanced”",,,,,[],4.2,24 x 440.0ml,No,Ireland,Ale,Guinness
18,18,18,18,0,product_492,guinness-foreign-extra-beer-24-bottle-case,109.95,https://www.paneco.com.sg/products/guinness-foreign-extra-beer-24-bottle-case,"Case of 24 bottles of Guinness Foreign Extra. This is a beer born of a thirst for adventure tracing its origins back to a recipe for West India Porter, first set out by Arthur Guinness II in 1801. In the early 1800s, while other breweries were content to stay close to home, Guninness brewery struck out into unchartered territories, braving the perils of sea travel to export their famous black beer across the globe. Brewed with more hops to preserve the beer in the ships’ holds during voyages of four-to-five weeks in tropical climes, the recipe yielded a powerful drink with a complex, fruity bittersweet flavour. Fruit and caramel flavours begin, smoky notes and a vibrant bitterness follow. Where extra hops and a stronger alcohol percentage were once used to preserve the beer, allowing it to survive and thrive during long sea voyages, now they yield its bold taste and unique flavour profile.","“Aroma: Strong, with pronounced fruity and roast characterFlavour: A full-bodied palate of roast, fruity characterPalate: Initial tingling impact, bittersweet leading to a dry finishAppearance: A rich dark liquid with a frothy head”",,,,,[],7.5,24 x 330.0ml,No,Ireland,Ale,Guinness
19,19,19,19,0,product_202,heineken-beer-bottle-24-case,69.95,https://www.paneco.com.sg/products/heineken-beer-bottle-24-case,"Wherever you go in the world, it’s always refreshing to see something you recognise. That green bottle, the red star, the smiling ‘e’… like an instant welcome from an old friend. Cold, fresh, high quality Heineken. Enjoyed near and far since 1873.","“Brewing beer is a 100% natural process. Heineken® got its start when its founder fundamentally improved the process by which beer was made in a brewery that had existed for 251 years. The basic recipe is still closely guarded, and the principles of its success have remained the same: quality ingredients and a perfectly controlled brewing process”","One of the best lagers I have tasted. Best served cold, goes great with finger food and pizza. Taste is a little sweet with a medium bitter finish to it. There is definitely a place for this beer in every party you'd hold. ",,,,[],5.0,24 x 330.0ml,No,Netherlands,Lager,Heineken
20,20,20,20,0,product_4421,24-x-hitachino-nest-lager-beer-bottle-case-330ml,178.0,https://www.paneco.com.sg/products/24-x-hitachino-nest-lager-beer-bottle-case-330ml,"A fruity, citrus forward beer with a deep, bitter edge layered withUmami maltiness. Made by combining the Japanese citrus fruityuzu with a traditionally-styled lager. ",,,,,,[],5.5,24 x 330.0ml,No,Japan,,Hitachino Nest
21,21,21,21,0,product_4422,24-x-hitachino-nest-red-rice-ale-beer-bottle-case-330ml,188.0,https://www.paneco.com.sg/products/24-x-hitachino-nest-red-rice-ale-beer-bottle-case-330ml,"It is made with Japanese red rice, this beer displays complex sakelike flavours, malt sweet notes and hints of Strawberries. Anintriguing mix of sake, malt, and bitter notes in the finish. Enjoy the rose pink color along with the fruity flavor and aroma.",,,,,,[],7.0,24 x 330.0ml,No,,,Hitachino Nest
22,22,22,22,0,product_4420,24-x-hitachino-nest-white-ale-beer-bottle-case-330ml,174.95,https://www.paneco.com.sg/products/24-x-hitachino-nest-white-ale-beer-bottle-case-330ml,"Hitachino Nest White Ale is a refreshing mildly hopped JapaneseWhite ale brewed with coriander, nutmeg, orange peel and freshorange juice. Its citrusy, sweet-fruity-tart flavor profile from fresh orange juice makes it a unique Japaneseinterpretation of the Belgian Witbeer style.",,,,,,[],5.5,24 x 330.0ml,No,Japan,,Hitachino Nest
23,23,23,23,0,product_822,24-x-hoegaarden-white-beer-bottles-case,69.9,https://www.paneco.com.sg/products/24-x-hoegaarden-white-beer-bottles-case,"Perhaps they had too much time on their hands. Or they were sick of the sacramental wine. Maybe it was divine inspiration? We’ll never know for sure. What we do know is that the Hoegaarden monks were the first to discover the unique recipe for wheat beer around 1445. Wheat beer caused a bit of a stir in Hoegaarden. In all honesty, Hoegaarden became one big brewery in the 18th century. In 1709, the village had no less than 12 breweries. In 1726, that number had increased to 36. Oh and let’s not forget the 110 malt houses. The last brewery in Hoegaarden, Tomsin, closed shop in 1957. Soon after, in 1965, the villagers decided to take action to preserve the original recipe. Milkman Pierre Celis took the bull by the horns and started brewing up a batch in his milk shed, using only a copper boiler. He quickly expanded his operation and moved into a bigger building – ‘De Kluis’ (The Vault) – a subtle nod to the monks. By 1985 the nod was no longer subtle as he was making more than 75.000 hectolitres per year. Just as he was about to start exporting to the United States, a rather large fire flattened his dreams (and the beer). The brewery was destroyed.","“A unique, authentic Belgian wheat beer first brewed in 1445. The taste of Hoegaarden is unique and complex: sweet and sour with a note of bitterness, a spicy echo of coriander, and a hint of orange.”",The beer has a cloudy and hazy look with nice frothy lace. Has a refreshing and light taste to it which is the perfect drink for this sunny weather. Rich in flavour with a hint of citrus to it. ,,,,[],4.9,24 x 330.0ml,No,Belgium,Wheat,Hoegaarden
24,24,24,24,0,product_1136,24-x-lagunitas-ipa-beer-bottle-case-355ml,129.95,https://www.paneco.com.sg/products/24-x-lagunitas-ipa-beer-bottle-case-355ml,"A well-rounded, highly drinkable India Pale Ale (IPA). A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops. This is the No. 1 seller from Lagunitas brewery and a great example of an IPA. Lagunitas was started in 1992 by Tony Magee, a former advertising executive and home brew hobbyist.","“India Pale Ale is a type of beer made popular in the 18th century. It has developed into a very aggressive hopped style of beer with bitter, floral and earthy notes.”",,,,,[],6.2,24 x 355.0ml,No,United States,Ale,Lagunitas
25,25,25,25,0,product_3169,24-x-magners-original-irish-cider-bottle-pack-330ml,79.5,https://www.paneco.com.sg/products/24-x-magners-original-irish-cider-bottle-pack-330ml,"A well-rounded, highly drinkable India Pale Ale (IPA). A bit of Caramel Malt barley provides the richness that mellows out the twang of the hops. This is the No. 1 seller from Lagunitas brewery and a great example of an IPA. Lagunitas was started in 1992 by Tony Magee, a former advertising executive and home brew hobbyist.",“Well rounded taste with balanced acidity and sweetness. Has a delicate but deep fruity flavour derived from fresh ripe apples with hints of oak and spicy vine fruits”,,,,,[],4.5,24 x 330.0ml,No,Ireland,,Magners
26,26,26,26,0,product_3167,24-x-miller-genuine-draft-pack-330ml,79.95,https://www.paneco.com.sg/products/24-x-miller-genuine-draft-pack-330ml,"Miller Genuine Draft Beer (24 case) Miller Genuine Draft delivers a fresh from the tap taste through its proprietary ""cold-filtered four times"" brewing process. This beer is light and refreshing, it's perfect as a summer beer, as well as great for all other occassions.",,,,,,[],4.7,24 x 330.0ml,No,Czech Republic,Lager,Miller Genuine Draft
27,27,27,27,0,product_2098,24-x-pabst-blue-ribbon-american-lager-beer-bottle-case-330ml,79.95,https://www.paneco.com.sg/products/24-x-pabst-blue-ribbon-american-lager-beer-bottle-case-330ml,"Crafted with a combination of 6-row malted barley, premium cereal grains, a tailored selection of Pacific hops, and pure yeast culture. It offers a clean, crisp, slightly sweet and full-bodied flavour that promises drinkers maximum enjoyment.",,,,,,[],4.7,24 x 330.0ml,No,United States,Lager,Pabst Blue Ribbon
28,28,28,28,0,product_4070,24-x-paulaner-munchner-hell-beer-bottle-case-330ml,79.95,https://www.paneco.com.sg/products/24-x-paulaner-munchner-hell-beer-bottle-case-330ml,"A true Lager beer needs four ingredients: Water, barley malt, hops and yeast. The fact that, despite this, every beer tastes different is due to the quality of the ingredients and the care taken in the brewing process. The brewmasters were among the first to bring Münchner Hell to the Bavarian pumps. Today it is one of the world’s favourite beers. The recipe for success remains: A perfect balance of malty character and the light bitterness of the hops. We rely on local barley malts only. At first, strong in flavour and slightly sweet like a summer day when you drink it. Afterwards, a light touch of hops follows: Not bitter hops, but 100% “Hallertauer Tradition”. For us, one of the finest, most delicious and aromatic hops worldwide. Good enough for this traditional Munich beer, which is ideal to accompany meals like spicy spare ribs. Just try it!",,,,,,[],4.9,24 x 330.0ml,No,Germany,Lager,Paulaner
29,29,29,29,0,product_4072,24-x-paulaner-weissbier-beer-bottle-case-330ml,79.95,https://www.paneco.com.sg/products/24-x-paulaner-weissbier-beer-bottle-case-330ml,"Naturally cloudy and shining silky gold in the glass under a really strong head of foam. At the first mouthful this Weiser beer classic has a mild aroma of banana. Finer palates detect a trace of mango and pineapple and the balance between sweet and bitter. Beer connoisseurs appreciate the fine note of yeast and the mild but sparkling mix of aromas. It is a typical beergarden beer, which brings people together all over the world. Paulaner uses a unique brewing technique called “yeast in suspension”, which guarantees the uniform slightly cloudy appearance, the constant high quality and the unique taste of the beer. The no. 1 Hefe-Weiser beer in Germany and one of the world’s favourites and is available in a 24 bottle case.",,,,,,[],5.5,24 x 330.0ml,No,Germany,Wheat,Paulaner
30,30,30,30,0,product_491,24-x-peroni-nastro-azurro-beer-bottle-case-330ml,74.5,https://www.paneco.com.sg/products/24-x-peroni-nastro-azurro-beer-bottle-case-330ml,"“Nastro Azzurro” is Italian for “blue ribbon,” and this lager is the premium product of Italy’s largest brewery, though the regular Peroni Lager sells more beer in Italy.","“Peroni is built like a warm-climate German pilsner, from the noble hops, light cooked-corn malt, and, yes, slight skunkiness of the nose, to the palate, which starts out with light-bodied malt and bitterness that starts crisp and grows increasingly focused. Here, however, the light body is hard-pressed to take the edge off the hops, and there’s a harshness that can register as astringent or metallic.”",,,,,[],5.0,24 x 330.0ml,No,Italy,Lager,Peroni
31,31,31,31,0,product_501,24-x-san-miguel-especial-beer-bottle-case-330ml,66.95,https://www.paneco.com.sg/products/24-x-san-miguel-especial-beer-bottle-case-330ml,"San Miguel Especial is a premium pilsner style lager, golden in colour, sparkling with a generous white creamy head and citrus aroma. San Miguel bottles perfectly balance bitterness to deliver full-bodied beer with a clean, crisp and refreshing taste.","“For the 3rd straight year, san miguel pale pilsen won the gold quality award, earning itself an international high quality trophy for the feat.This is a true testament of san miguel pale pilsen’s world-class standard in taste. It has been consistently winning gold medals since 1981.”",,,,,[],5.4,24 x 330.0ml,No,Spain,Lager,San Miguel
32,32,32,32,0,product_979,24-x-san-miguel-light-beer-bottle-case,69.95,https://www.paneco.com.sg/products/24-x-san-miguel-light-beer-bottle-case,San Miguel Light is the country's leading low calorie beer with only 100 calories per 330ml serving. That's why you'll feel so light as you enjoy its full beer flavor that hits just right.,“San Miguel Light is truly the perfect beer companion for extended drinking moments with friends.”,,,,,[],5.0,24 x 330.0ml,No,Philippines,Lager,San Miguel
33,33,33,33,0,product_978,24-x-san-miguel-steinie-pale-pilsen-beer-bottle-case-320ml,78.73,https://www.paneco.com.sg/products/24-x-san-miguel-steinie-pale-pilsen-beer-bottle-case-320ml,"San Miguel Pale Pilsen is our flagship brand. It is the standard of beer taste in the Philippines: A Grand Gold medalist in the world-renowned Monde Selection awards. It is a pale golden lager with rich, full-bodied flavors.","“Its smooth, full-flavored taste complements its pleasant aroma, making it a perfectly balanced beer.”",,,,,[],5.0,24 x 320.0ml,No,Philippines,Lager,San Miguel
34,34,34,34,0,product_829,24-x-stella-artois-longneck-beer-bottle-case-330ml,74.49,https://www.paneco.com.sg/products/24-x-stella-artois-longneck-beer-bottle-case-330ml,"Sebastian Artois was admitted to the Leuven Brewer’s Guild as a Brew Master in 1708, and only nine years later purchased the Den Hoorn brewery. In memoriam, you can find his last name on the brewery and every bottle of Stella Artois around the world. By 1366 the roots of their brewing tradition had been established in the city of Leuven, Belgium– which is also where the original Den Hoorn brewery was founded. Den Hoorn laid the foundation for the quality taste and standard Stella Artois is known for. The symbol of the Den Hoorn Brewery is proudly displayed in Stella Artois' cartouche to this day. The Artois Brewery was so beloved internationally and locally, a special batch was created as a Christmas gift to the people of Leuven. That special batch was the first to officially include ""Stella"" in its name. ""Stella"", meaning star in Latin, pays homage to this original occasion, accompanied by a star on every bottle. So next time you see a bottle of Stella Artois, take note of the rich history paired with the rich flavor on and in every bottle.","“Stella Artois is the result of hundreds of years of brewing expertise so it’s worth just a few extra steps to ensure the best possible tasting experience for connoisseurs such as you. Before being poured, we always recommend it has been chilled to between 3-5°C and of course you should savour Stella Artois in its unique Chalice, the curves of which are designed to enhance the tempting taste and aroma. Take a sip. A malty middle and crisp finish should reveal the full, pleasantly bitter flavour that Stella Artois is known for and what makes it an in ideal accompaniment for a variety of cuisines from around the world.”",,,,,[],5.0,24 x 330.0ml,No,Belgium,Lager,Stella Artois
35,35,35,35,0,product_1833,24-x-voss-pet-bottle-case-500ml,62.95,https://www.paneco.com.sg/products/24-x-voss-pet-bottle-case-500ml,"Confined in an aquifer deep beneath the earth, VOSS water lies under layers of rock and sand, which create a natural filter, protecting it from the air and other pollutants. VOSS is served on the tables of the most discerning consumers, in the rooms of the top hotels, and at the finest restaurants and now in your home. VOSS Water meets all bottled water standards for quality and safety at the U.S. Federal, State, Norwegian and International levels. Their scientists and independent certified laboratories perform extensive tests on the water source and finished bottled water product to ensure they are compliant with all bottled water requirements.","“Ahh, so you’re one of those people that are always “on the go”. All the charisma, elegance and purity of our classic VOSS, minus the weight so you can grab and go go go!”",,,,,[],0.0,24 x 500.0ml,No,Norway,,VOSS
36,36,36,36,0,product_1137,24-x-warsteiner-premium-verum-beer-bottle-case-330ml,71.95,https://www.paneco.com.sg/products/24-x-warsteiner-premium-verum-beer-bottle-case-330ml,"The largest-selling beer in Germany! A refreshing, pale golden pilsener with a clean taste perfectly balanced with hints of barley malt, subtle bottom fermenting yeast tones and mild hoppy bitterness The name Cramer has been synonymous with Warsteiner since 1753. Today the ninth generation of the clan, Catharina Cramer, carries on a long tradition of brewing excellence, backed by a rich German heritage, a high-quality range and a clear strategy to continue shaping the future of the German and the international beer market.",“Pleasantly light thanks to especially soft brewing waterBest Before 18 May 2022”,,,,,[],4.8,24 x 330.0ml,No,Germany,Lager,Warsteiner
37,37,37,37,0,product_4165,3-fonteinen-framboos-oogst-2019-lambic-bottle-375ml,42.0,https://www.paneco.com.sg/products/3-fonteinen-framboos-oogst-2019-lambic-bottle-375ml,"Aged on organic raspberries from Belgium. The beer has an insanely fruity character, mild dry acidity and is rounded out by funky yeasty notes.",,,,,,[],6.3,375.0ml,No,Belgium,,3 Fonteinen
38,38,38,38,0,product_4164,3-fonteinen-hommage-bio-frambozen-lambic-bottle-375ml,42.0,https://www.paneco.com.sg/products/3-fonteinen-hommage-bio-frambozen-lambic-bottle-375ml,"3 Fonteinen is one of the last traditional lambic breweries and geuze blenders in Belgium. Family-owned, they still brew in Beersel with barrels and bottles of geuze and fruit lambic developing in Lot.",,,,,,[],6.3,375.0ml,No,Belgium,,"3 Fonteine, 3 Fonteinen"
