<<<<<<< HEAD
,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Bottle volume ml,Varietals,Alcohol percentage,Gift box,Country of origin,Varietal,Organic,Vintage,Style,palate  ,Brand,Product_desc,Expert Review,Customer Review,Appearance,Nose,Palate,Score,Finish,Food Pairing
,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Bottle volume ml,Varietals,Alcohol percentage,Gift box,Country of origin,Varietal,Organic,Vintage,Style,palate  ,Brand,Product_desc,Expert Review,Customer Review,Appearance,Nose,Palate,Score,Finish,Food Pairing
0,0,0,0,0,0,0,product_1544,3-pack-lanson-black-label-brut-champagne,194.85,https://www.paneco.com.sg/products/3-pack-lanson-black-label-brut-champagne,3 x 750.0ml,"Chardonnay, Pinot Noir",,,,,,,,,Lanson,"
Get this exclusive pack of 3 bottles of Lanson Black Label Brut Champagne. Only at Paneco.com A combination of 50% Pinot Noir, 35% Chardonnay and 15% Pinot Meunier, from numerous crus selected by the Winemaker and from almost ten different years. Lanson Black Label Brut is further enhanced by three years resting in the cellar, including 6 months following disgorging, at which point it reaches perfect maturation. This emblematic wine owes its name to Victor Lanson, who in 1937, wanted to pay tribute to the House’s leading market, Great Britain. The colour black, the symbol of elegance, was a natural choice for this Champagne dominated by Pinot Noir.
",,,,,,91.0,,[]
1,1,1,1,1,1,0,product_2704,aix-rose-750ml,50.95,https://www.paneco.com.sg/products/aix-rose-750ml,750.0ml,,13.0,No,France,Grenache,,,,,AIX Rose,"
AIX Ross is made in the Provence region of France, the Provence region is known for making the best rosés in the world. From the renowned appellation ‘AOP Coteaux d’Aix en Provence’, AIX nurtures its heritage and has a passion and dedication to make the best Provence Rosé. Ripe red fruits, layers of intense acidity and tangy texture come together to make a wine that is packed with fruitiness as well as great freshness.
","“This soft, bright and ripe wine is full of red fruits. Acidity is balanced in this wine with a fresh aftertaste and tangy texture. It is rich, generous and ready to drink.”",,Salmon pink,"fresh red fruits, peach and subtle flower hints",Roundness on the palate and a beautiful aromatic depth,92.0,,"['Beef', 'Chicken', 'Seafood', 'Pork']"
2,2,2,2,2,2,0,product_3330,alberto-nani-prosecco-doc-spumante-extra-dry-1500ml,69.95,https://www.paneco.com.sg/products/alberto-nani-prosecco-doc-spumante-extra-dry-1500ml,1500.0ml,,11.0,No,Italy,Glera,Yes,,,,Alberto Nani,"
Alberto Nani Organic and Vegan Prosecco is an authentic wine dedicated to man, to nature and to the passion for winemaking. Certified organic, the wine is crafted from Glera grapes grown without pesticides, insecticides and herbicides in the hilly vineyards of Italy’s famed Prosecco DOC region. The clay soil here is rich in minerals, essential for producing high quality Prosecco, and the climate is perfect for locking in the grapes of refreshing characteristics. The wine is a perfect expression of this exceptional terroir. The elegant structure is a true delight and makes it extremely versatile to be paired with a wide variety of food and flavours. It is perfect as an aperitif, as well as throughout the meal.
",,,Pale straw yellow,"Intense, with floral notes",Harmonic with a mineral finish,,,"['Fish', 'Seafood', 'Salad', 'Salmon']"
3,3,3,3,3,3,0,product_2815,alberto-nani-prosecco-doc-spumante-extra-dry-750ml,31.95,https://www.paneco.com.sg/products/alberto-nani-prosecco-doc-spumante-extra-dry-750ml,750.0ml,,11.0,No,Italy,Glera,Yes,,,,Alberto Nani,"
Alberto Nani Organic and Vegan Prosecco is an authentic wine dedicated to man, to nature and to the passion for winemaking. Certified organic, the wine is crafted from Glera grapes grown without pesticides, insecticides and herbicides in the hilly vineyards of Italy’s famed Prosecco DOC region. The clay soil here is rich in minerals, essential for producing high quality Prosecco, and the climate is perfect for locking in the grapes of refreshing characteristics. The wine is a perfect expression of this exceptional terroir. The elegant structure is a true delight and makes it extremely versatile to be paired with a wide variety of food and flavours. It is perfect as an aperitif, as well as throughout the meal.
",,,Pale straw yellow,"Intense, with floral notes",Harmonic with a mineral finish,93.0,,"['Chicken', 'Fish', 'Cheese', 'Dessert']"
4,4,4,4,4,4,0,product_3745,amarama-primitivo-puglia-igt-750ml,48.5,https://www.paneco.com.sg/products/amarama-primitivo-puglia-igt-750ml,750.0ml,,13.5,No,Italy,Primitivo Zinfandel,,2020.0,,,Amarama,"
Amarama Primitivo Puglia IGT wine is made from 100% Primitivo grapes aged in old French oak barrels for 3 months. The wine has a dark ripe fruit color, with prominent aromas of herbs, violets and tobacco and fruit. The aromas of black cherries and licorice are very pronounced. Amarrama primitive is quite complex, due to aging in oak barrels for 3 months, medium tannins create a balance in the sweetness of ripe black berries along with mild spicy flavors of black pepper and tobacco.
",,,Dark ruby red,Aromas of black cherries and licorice are very pronounced,Medium tannins create a balance in the sweetness of ripe black berries along with mild spicy flavors of black pepper and tobacco,90.0,,"['Beef', 'Pork', 'Pasta', 'Lamb']"
5,5,5,5,5,5,0,product_2956,amodo-nero-d-avola-sicilia-doc-750ml,30.5,https://www.paneco.com.sg/products/amodo-nero-d-avola-sicilia-doc-750ml,750.0ml,,13.5,No,Italy,Nero d'avola,,2018.0,,,Amodo,"
Amondo Nero d'Avole is the pure expression of a unique territory, surrounded by the sea, Sicily. A full bodied wine with hints of berries, dried plum and chocolate finish.
","“Round and fruity, with soft and persistent tannins, with a nice large fruity finish, with clear hints of dark chocolate.”",,Ruby red,"Cherry, black pepper",Smooth on the palate,,,"['Beef', 'Duck', 'Pasta', 'Lamb']"
6,6,6,6,6,6,0,product_2199,amodo-pinot-noir-provincia-di-pavia-igt-750ml,32.1,https://www.paneco.com.sg/products/amodo-pinot-noir-provincia-di-pavia-igt-750ml,750.0ml,,12.0,No,Italy,Pinot Noir,,2022.0,,,Amodo,"
Amodo Pinot Noir is elegant, suggesting fruit and rose petals aromas, full flavoured with abundant spice notes and lengthy finish.
",,,Red ruby,"Cherry, strawberry and some pepper",Well balanced acidity and tannins.,,,"['Beef', 'Duck', 'Lamb', 'Venison']"
7,7,7,7,7,7,0,product_1214,anna-de-codorniu-blanc-brut,29.95,https://www.paneco.com.sg/products/anna-de-codorniu-blanc-brut,750.0ml,,11.5,No,Spain,Chardonnay,,,,,Anna de Codorniu,"
Anna de Codorníu Blanc de Blancs Reserva is a unique edition for selected gastronomy. The vivacity, freshness and fruitiness of Anna are enriched by aging in cavas over 15 months. Purity, liveliness and femininity define this cava, and the combination of Chardonnay with the three classic grapes, Parellada, Xarel·lo and Macabeo, stand out as a sparkling and very fresh cava from the fruity and floral aromas of its aging.
","“Codorniu’s Cava lineup begins with the Non-Vintage Anna Brut. Brioche, baking spices, floral notes, and green apple inform the nose of this just off-dry, smooth-textured, nicely balanced sparkling wine. Drink this very good value over the next 12-18 months.”",,"Brilliant yellow colour with green reflections. Fine, persistent bubbles forming continuous beads.","Displays citrus and tropical fruit notes along with more complex ageing aromas (toast, brioche) that enrich the range of aromas.","Creamy, wide, and long-lasting.",,,"['Fish', 'Seafood', 'Cheese', 'Sushi']"
8,8,8,8,8,8,0,product_1215,anna-de-codorniu-rose,29.95,https://www.paneco.com.sg/products/anna-de-codorniu-rose,750.0ml,"Chardonnay, Pinot Noir",12.0,No,Spain,,,,,,Anna de Codorniu,"
Anna de Codorniu Brut Rosé combines glamor, femininity, innovation and modernity with the experience and history of what is probably the pink version of the most emblematic product of Codorníu, Anna de Codorníu. Both the Pinot Noir and Chardonnay grapes come from vineyards located in Lleida, the region with the most continental climate in D.O. Cava. This location provides the grapes with optimum concentration, lower acidity and greater body and intensity. Harvest of the grapes take place towards the middle of August and is always carried out at night, so as to keep the grapes as fresh as possible, thereby retaining aroma and avoiding oxidation or spontaneous fermentation.
",“Nice refreshing cava to start a meal. Nice acidity and well balanced fruit makes it a drink to go along with your meal.”,,Delicate red cherry colour. Fine and persistent bubbles.,"Aromas of red fruit, strawberries, cherries and woodland fruits with hints of green apple.",Elegant and light. Well balanced between acidity and sweetness with a refreshing finish.,,,"['Beef', 'Chicken', 'Fish', 'Seafood']"
>>>>>>> e47ce0c3f7db9be48c589d9ac4f5ba092d85190e
9,9,9,9,9,9,0,product_1844,antoine-olivier-santenay-le-temps-des-cerises-750ml,73.9,https://www.paneco.com.sg/products/antoine-olivier-santenay-le-temps-des-cerises-750ml,750.0ml,,13.5,No,France,Pinot Noir,,2018.0,,,Domaine Olivier,"
                  The Olivier vineyard was established at the end of the 60s. Antoine Moreau-Chevalier left a few vines to his grandson, Hervé who was my father.

The purchase of various land parcels and subsequent new plantings the domain has grown to include land in the cities of Santenay, Savigny, Pommard . and most recently around Rully.

During the growth of the winery, we have maintained our care for the old soils which were long esteemed for production of the Santenay Blanc.

Some of these had been abandoned for over a century, and our wines have since earned the title of Grand Vins de Bourgogne ( great white wines of Burgundy). Our vineyard is the main producer of the Santenay Blanc (white wine).
<<<<<<< HEAD
                ",,,"Intense colour, a deep ruby red",Its fine bouquet releases aromas of red berries,"In the mouth, its finesse and elegance at the beginning develops into a more tannic finish. A good concentration flourishes and takes its full extent. The age of this old vineyard amplifies this elegant concentration",89.0,,"['Beef', 'Duck', 'Asian', 'Lamb']"
10,10,10,10,10,10,0,product_2814,aristocratico-amarone-della-valpolicella-docg-2017-750ml,59.5,https://www.paneco.com.sg/products/aristocratico-amarone-della-valpolicella-docg-2017-750ml,750.0ml,"Corvina, Amarone",15.0,No,Italy,,,2018.0,,,Aristocratico,"
Aristocratico Amarone is a red wine made with a lengthy process. The grapes are harvested, dried and then slowly fermented; the contact with the grape skins can last about two months and then it’s aged in oak barrels for 24 months. Aristocratico Amarone is rich in flavour, bold and complex on the palate, yet elegant and balanced, with notes of raisins and spices.
",,,Deep ruby red verging on garnet,"Complex with notes of ripe fruit, tobacco and spices",Round with sophisticated aromas and soft tannins,,,"['Beef', 'Chicken', 'Cheese', 'Lamb']"
11,11,11,11,11,11,0,product_2934,aristocratico-rosso-passito-salento-igt-750ml,35.4,https://www.paneco.com.sg/products/aristocratico-rosso-passito-salento-igt-750ml,750.0ml,,14.5,No,Italy,Primitivo Zinfandel,,2020.0,,,Aristocratico,"
Aristocratico Appassimento pays homage to this century old winemaking process to obtain the finest red wines thanks to late harvesting. Only the best grapes of Negramaro and Primitivo varieties are selected and left on the plants, until each grape is dried out concentrating its taste and aromas.
",,,Ruby red,"Intense bouquet, with notes of ripe fruit and jam",Full bodied with smooth tannins and long lasting with a hint of cherry jam,,,"['Beef', 'Chicken', 'Cheese', 'Venison']"
12,12,12,12,12,12,0,product_2933,aristocratico-valpolicella-ripsasso-doc-750ml,42.4,https://www.paneco.com.sg/products/aristocratico-valpolicella-ripsasso-doc-750ml,750.0ml,,13.5,No,Italy,Corvina,,2019.0,,,Aristocratico,"
Aristocratico Ripasso in an exceptional red wine obtained from the maceration of the Valpolicella wine on the dried grape skins of Amarone. It comes from a magnificent land located between Verona and Garda Lake, a terroir which has a long established tradition for distinctive wines. Thanks to the Ripasso method, this wine has a better structure and lower acidity. The bouquet is characterized by ripe red fruit and spices.
",,,Ruby red with purple hues,"Complex with notes of violet and spices, ripe red fruits such as raspberries and cherries","Round with good structure, notes of fruit and spices",,,"['Beef', 'Pasta', 'Lamb', 'Venison']"
13,13,13,13,13,13,0,product_3616,armand-de-brignac-brut-gold-750ml-w-velvet-bag,485.0,https://www.paneco.com.sg/products/armand-de-brignac-brut-gold-750ml-w-velvet-bag,750.0ml,"Chardonnay, Pinot Noir",12.5,No,France,,,,,,Armand de Brignac,"
                  Armand de Brignac or 'Ace of Spades' combines great Champagne made by the Cattier family with luxurious style. The gold bottles are famous the world over for their beauty and craftsmanship. Owned by rap legend Jay-Z, Ace of Spades is the most prestigious bottle in the club and a party isn't a party without it.
                ",,,Golden color,"Fresh and lively, with light floral notes.",Racy fruit character perfectly integrated with the wine’s subtle brioche accents.,91.0,,"['Chicken', 'Fish', 'Seafood', 'Cheese']"
14,14,14,14,14,14,0,product_3617,armand-de-brignac-brut-rose-750ml-w-velvet-bag,656.0,https://www.paneco.com.sg/products/armand-de-brignac-brut-rose-750ml-w-velvet-bag,750.0ml,"Chardonnay, Pinot Noir",12.5,No,France,,,,,,Armand de Brignac,"
Since 1763, the Cattier family has owned and cultivated vineyards in the beautiful Montagne de Reims terroir. Armand de Brignac is made using only Premier and Grand Cru grapes from the Montage de Reims. Côte de Blancs, and Vallée de la Marne. Each bottle is a blend of three distinct vintages, entirely handmade by traditional means. Armand de Brignac represents the culmination of centuries of tradition and unparalleled attention to quality and detail. Strictly limited production preserves our standarts in creating the world's finest Champagne.""
",,,Intense salmon colored,"The bouquet is intensely fruity yet clear, fine and well-defined","Full-bodied, round, vinous and elegant",92.0,,"['Chicken', 'Seafood', 'Cheese', 'Dessert']"
15,15,15,15,15,15,0,product_1716,armand-de-brignac-demi-sec-750ml-w-gift-box,726.95,https://www.paneco.com.sg/products/armand-de-brignac-demi-sec-750ml-w-gift-box,750.0ml,"Chardonnay, Pinot Noir",12.5,Yes,France,,,,,,Armand de Brignac,"
The Armand de Brignac Demi Sec was once a curiosity shared only with visitors to the maison in Chigny-les-Roses, France. The Demi Sec was created to provide a sweeter elaboration that pairs with the most exotic of foods. The champagne is composed of 40% Pinot Noir, 40% Chardonnay and 20% Pinot Meunier.
","“Notes of English candy, grapefruit, compote fruits, caramel, quince and brioche. The palate is abundant with crystalized citrus fruits, honey and hints of blackberries. An ideal pairing with foie gras, cheeses or lightly spiced foods. Also pairs well with exotic fruits and baked desserts”",,Golden yellow,"English candy, grapefruit, compote fruits, caramel, quince and brioche","Citrus fruits, honey and hints of blackberries",93.0,,"['Fish', 'Seafood', 'Pork', 'Cheese']"
=======
                ",,,"Intense colour, a deep ruby red",Its fine bouquet releases aromas of red berries,"In the mouth, its finesse and elegance at the beginning develops into a more tannic finish. A good concentration flourishes and takes its full extent. The age of this old vineyard amplifies this elegant concentration",89.0,,"['Beef', 'Duck', 'Asian', 'Lamb']"
10,10,10,10,10,10,0,product_2814,aristocratico-amarone-della-valpolicella-docg-2017-750ml,59.5,https://www.paneco.com.sg/products/aristocratico-amarone-della-valpolicella-docg-2017-750ml,750.0ml,"Corvina, Amarone",15.0,No,Italy,,,2018.0,,,Aristocratico,"
Aristocratico Amarone is a red wine made with a lengthy process. The grapes are harvested, dried and then slowly fermented; the contact with the grape skins can last about two months and then it’s aged in oak barrels for 24 months. Aristocratico Amarone is rich in flavour, bold and complex on the palate, yet elegant and balanced, with notes of raisins and spices.
",,,Deep ruby red verging on garnet,"Complex with notes of ripe fruit, tobacco and spices",Round with sophisticated aromas and soft tannins,,,"['Beef', 'Chicken', 'Cheese', 'Lamb']"
11,11,11,11,11,11,0,product_2934,aristocratico-rosso-passito-salento-igt-750ml,35.4,https://www.paneco.com.sg/products/aristocratico-rosso-passito-salento-igt-750ml,750.0ml,,14.5,No,Italy,Primitivo Zinfandel,,2020.0,,,Aristocratico,"
Aristocratico Appassimento pays homage to this century old winemaking process to obtain the finest red wines thanks to late harvesting. Only the best grapes of Negramaro and Primitivo varieties are selected and left on the plants, until each grape is dried out concentrating its taste and aromas.
",,,Ruby red,"Intense bouquet, with notes of ripe fruit and jam",Full bodied with smooth tannins and long lasting with a hint of cherry jam,,,"['Beef', 'Chicken', 'Cheese', 'Venison']"
12,12,12,12,12,12,0,product_2933,aristocratico-valpolicella-ripsasso-doc-750ml,42.4,https://www.paneco.com.sg/products/aristocratico-valpolicella-ripsasso-doc-750ml,750.0ml,,13.5,No,Italy,Corvina,,2019.0,,,Aristocratico,"
Aristocratico Ripasso in an exceptional red wine obtained from the maceration of the Valpolicella wine on the dried grape skins of Amarone. It comes from a magnificent land located between Verona and Garda Lake, a terroir which has a long established tradition for distinctive wines. Thanks to the Ripasso method, this wine has a better structure and lower acidity. The bouquet is characterized by ripe red fruit and spices.
",,,Ruby red with purple hues,"Complex with notes of violet and spices, ripe red fruits such as raspberries and cherries","Round with good structure, notes of fruit and spices",,,"['Beef', 'Pasta', 'Lamb', 'Venison']"
13,13,13,13,13,13,0,product_3616,armand-de-brignac-brut-gold-750ml-w-velvet-bag,485.0,https://www.paneco.com.sg/products/armand-de-brignac-brut-gold-750ml-w-velvet-bag,750.0ml,"Chardonnay, Pinot Noir",12.5,No,France,,,,,,Armand de Brignac,"
                  Armand de Brignac or 'Ace of Spades' combines great Champagne made by the Cattier family with luxurious style. The gold bottles are famous the world over for their beauty and craftsmanship. Owned by rap legend Jay-Z, Ace of Spades is the most prestigious bottle in the club and a party isn't a party without it.
                ",,,Golden color,"Fresh and lively, with light floral notes.",Racy fruit character perfectly integrated with the wine’s subtle brioche accents.,91.0,,"['Chicken', 'Fish', 'Seafood', 'Cheese']"
14,14,14,14,14,14,0,product_3617,armand-de-brignac-brut-rose-750ml-w-velvet-bag,656.0,https://www.paneco.com.sg/products/armand-de-brignac-brut-rose-750ml-w-velvet-bag,750.0ml,"Chardonnay, Pinot Noir",12.5,No,France,,,,,,Armand de Brignac,"
Since 1763, the Cattier family has owned and cultivated vineyards in the beautiful Montagne de Reims terroir. Armand de Brignac is made using only Premier and Grand Cru grapes from the Montage de Reims. Côte de Blancs, and Vallée de la Marne. Each bottle is a blend of three distinct vintages, entirely handmade by traditional means. Armand de Brignac represents the culmination of centuries of tradition and unparalleled attention to quality and detail. Strictly limited production preserves our standarts in creating the world's finest Champagne.""
",,,Intense salmon colored,"The bouquet is intensely fruity yet clear, fine and well-defined","Full-bodied, round, vinous and elegant",92.0,,"['Chicken', 'Seafood', 'Cheese', 'Dessert']"
15,15,15,15,15,15,0,product_1716,armand-de-brignac-demi-sec-750ml-w-gift-box,726.95,https://www.paneco.com.sg/products/armand-de-brignac-demi-sec-750ml-w-gift-box,750.0ml,"Chardonnay, Pinot Noir",12.5,Yes,France,,,,,,Armand de Brignac,"
The Armand de Brignac Demi Sec was once a curiosity shared only with visitors to the maison in Chigny-les-Roses, France. The Demi Sec was created to provide a sweeter elaboration that pairs with the most exotic of foods. The champagne is composed of 40% Pinot Noir, 40% Chardonnay and 20% Pinot Meunier.
","“Notes of English candy, grapefruit, compote fruits, caramel, quince and brioche. The palate is abundant with crystalized citrus fruits, honey and hints of blackberries. An ideal pairing with foie gras, cheeses or lightly spiced foods. Also pairs well with exotic fruits and baked desserts”",,Golden yellow,"English candy, grapefruit, compote fruits, caramel, quince and brioche","Citrus fruits, honey and hints of blackberries",93.0,,"['Fish', 'Seafood', 'Pork', 'Cheese']"
>>>>>>> e47ce0c3f7db9be48c589d9ac4f5ba092d85190e
16,16,16,16,16,16,0,product_3709,armand-de-brignac-rose-750ml-w-gift-box,696.95,https://www.paneco.com.sg/products/armand-de-brignac-rose-750ml-w-gift-box,750.0ml,"Chardonnay, Pinot Noir",12.5,Yes,France,,,,,,Armand de Brignac,"
                  Since 1763, the Cattier family has owned and cultivated vineyards in the beautiful Montagne de Reims terroir. Armand de Brignac is made using only Premier and Grand Cru grapes from the Montage de Reims. Côte de Blancs, and Vallée de la Marne. Each bottle is a blend of three distinct vintages, entirely handmade by traditional means.

Armand de Brignac represents the culmination of centuries of tradition and unparalleled attention to quality and detail. Strictly limited production preserves our standarts in creating the world's finest Champagne.""
<<<<<<< HEAD
                ",,, Intense salmon colored,"The bouquet is intensely fruity yet clear, fine and well-defined","Full-bodied, round, vinous and elegant",92.0,,"['Chicken', 'Seafood', 'Cheese', 'Dessert']"
17,17,17,17,17,17,0,product_4642,barbanera-collezione-famiglia-chieteno-rosso-toscana-igt-750ml,47.95,https://www.paneco.com.sg/products/barbanera-collezione-famiglia-chieteno-rosso-toscana-igt-750ml,750.0ml,,13.5,No,Italy,,,,,,Barbanera,"
The Chieteno from the Barbanera winery pays homage to Tuscan traditions and impresses with its flattering softness.
",,,Distinctly purplish,Intense fruit aromas reminiscent of cherries and blackberries are surrounded by balsamic nuances and notes of vanilla,"Dense texture and is ideal for friends of soft, supple red wines with balanced acidity.",98.0,,"['Beef', 'Duck', 'Lamb', 'Venison']"
